Strategy,Final Capital,Total Return (%),Sharpe Ratio,Win Rate (%)
Supertrend + RSI,956.5641585593603,-4.343584144063972,1.7829163167744058,0.0
Advanced Strategy,1055.8531670979194,5.585316709791943,2.6614779529813415,75.0
